0,Chad,Tarnowskie Góry,Środkowa,467,38
1,United Kingdom,Słupsk,Szczęśliwa,114,21
2,Fiji,Lublin,Malczewskiego,204,44
3,Vatican City,Lubliniec,Spółdzielcza,755,43
4,CÃ´te d'Ivoire,Żyrardów,Truskawkowa,516,39
5,Jamaica,Wejherowo,Bursztynowa,57,48
6,Palestine,Otwock,Piękna,22,25
7,Honduras,Wałcz,Wypoczynkowa,86,16
8,Senegal,Tczew,Szkolna,455,86
9,Monaco,Zielona Góra,Powstańców,277,73
10,Ethiopia,Jastrzębie-Zdrój,Zachodnia,341,23
11,Barbados,Racibórz,Mazowiecka,90,88
12,Kyrgyzstan,Grudziądz,Azaliowa,515,30
13,Eritrea,Mława,Rajska,626,61
14,Trinidad and Tobago,Sopot,Sosnowa,17,100
15,Japan,Malbork,Śląska,448,47
16,Cameroon,Legionowo,Wojska Polskiego,382,61
17,Spain,Świdnik,Lazurowa,487,17
18,Albania,Gdańsk,Jaskółcza,356,54
19,Italy,Żywiec,Sowia,300,11
20,Libya,Augustów,Batalionów Chłopskich,706,44
21,Zimbabwe,Piotrków Trybunalski,Nowa,299,78
22,Grenada,Mińsk Mazowiecki,Rolnicza,539,11
23,Djibouti,Bydgoszcz,Kolorowa,59,68
24,Azerbaijan,Legnica,Ptasia,889,13
25,Morocco,Swarzędz,Krucza,265,59
26,North Korea,Stargard Szczeciński,Kolonia,580,66
27,Sri Lanka,Ostrów Mazowiecka,Sienkiewicza,486,25
28,Burkina Faso,Kluczbork,Głogowa,404,23
29,Italy,Włocławek,Śląska,472,79
30,Haiti,Tomaszów Mazowiecki,Hallera,159,15
31,North Macedonia,Nowa Sól,Wyzwolenia,713,79
32,Andorra,Rzeszów,Batalionów Chłopskich,142,47
33,Tanzania,Inowrocław,Źródlana,805,17
34,East Timor,Kościan,Kolonia,427,75
35,Malta,Grudziądz,Poziomkowa,49,79
36,Denmark,Cieszyn,Brzoskwiniowa,461,52
37,Iceland,Pruszków,Przemysłowa,307,12
38,Cyprus,Rybnik,Chopina,509,3
39,Bahamas,Augustów,Wypoczynkowa,863,61
40,Moldova,Świebodzice,Stycznia,831,4
41,United Kingdom,Będzin,Glówna,874,81
42,Djibouti,Kraków,Mostowa,264,81
43,Vanuatu,Warszawa,Browarna,422,55
44,Senegal,Środa Wielkopolska,Perłowa,860,28
45,Botswana,Goleniów,Szarych Szeregów,40,18
46,Malta,Sochaczew,Jeziorna,177,95
47,Lebanon,Kłodzko,Nałkowskiej,219,60
48,Somalia,Świebodzice,Szeroka,752,65
49,Denmark,Cieszyn,Wodna,626,42
50,Eritrea,Kraśnik,Mała,680,63
51,Panama,Grodzisk Mazowiecki,Letniskowa,139,24
52,Somalia,Bielawa,Konopnickiej,494,50
53,Afghanistan,Kraków,Nowowiejska,321,78
54,Algeria,Będzin,Zbożowa,637,99
55,Bolivia,Koło,Wczasowa,568,18
56,Saint Kitts and Nevis,Knurów,Osiedlowa,779,39
57,North Korea,Inowrocław,Jałowcowa,171,34
58,Malawi,Chorzów,Ściegiennego,482,11
59,Mauritius,Częstochowa,Toruńska,346,88
60,Colombia,Lublin,Andersa,114,14
61,Bangladesh,Zgierz,Wypoczynkowa,802,29
62,Zambia,Wągrowiec,Zapolskiej,676,16
63,Iran,Kraśnik,Nowa,557,27
64,Burundi,Swarzędz,Paderewskiego,91,24
65,Republic of the Congo,Biłgoraj,Powstańców Wielkopolskich,172,51
66,Saint Vincent and the Grenadines,Bochnia,Turkusowa,702,23
67,Romania,Marki,Krucza,861,98
68,Sri Lanka,Zamość,Borowa,568,31
69,Marshall Islands,Ostrowiec Świętokrzyski,Władysława Łokietka,82,75
70,Czech Republic,Gdynia,Wypoczynkowa,844,24
71,Estonia,Piaseczno,Orla,274,83
72,Mauritius,Pruszków,Morska,683,10
73,Bangladesh,Chorzów,Okulickiego,177,56
74,France,Świebodzice,Wypoczynkowa,196,39
75,Greece,Mielec,Piekarska,623,7
76,Solomon Islands,Tczew,Jadwigi,821,100
77,Cambodia,Lubliniec,Wiślana,564,5
78,Morocco,Mikołów,Kamienna,811,45
79,Federated States of Micronesia,Koło,Szczęśliwa,433,76
80,Malaysia,Kętrzyn,Kochanowskiego,544,44
81,Samoa,Krotoszyn,Poprzeczna,279,16
82,Czech Republic,Tarnów,Kowalska,140,4
83,Hungary,Lubliniec,Jana Pawła II,138,2
84,Libya,Żyrardów,Pocztowa,565,80
85,El Salvador,Pruszków,Długa,200,88
86,Zambia,Warszawa,Stycznia,758,93
87,Bangladesh,Wrocław,Młynarska,785,50
88,Morocco,Brodnica,Poprzeczna,511,44
89,France,Nowa Sól,Lazurowa,829,69
90,Costa Rica,Bielsk Podlaski,Skłodowskiej-Curie,208,20
91,Namibia,Sopot,Podmiejska,66,1
92,Egypt,Tarnów,Pomorska,116,71
93,United Arab Emirates,Lubartów,Gałczynskiego,634,63
94,Guyana,Śrem,Podleśna,261,80
95,Luxembourg,Lubliniec,Kolonia,238,7
96,Palestine,Biała Podlaska,Wyszyńskiego,702,34
97,Monaco,Siedlce,Tylna,660,68
98,Tonga,Rybnik,Słonecznikowa,610,48
99,North Macedonia,Jawor,Orkana,439,94
100,Burkina Faso,Gliwice,Pałacowa,322,55
101,Bolivia,Knurów,Nadrzeczna,364,100
102,Senegal,Ruda Śląska,Powstańców Śląskich,100,68
103,Myanmar,Kraków,Władysława Jagiełły,360,98
104,Singapore,Ostrów Wielkopolski,Towarowa,311,42
105,Palau,Lublin,Bałtycka,165,14
106,Dominican Republic,Świętochłowice,Kosynierów,150,70
107,Benin,Sopot,Wolności,227,27
108,Eritrea,Kwidzyn,Spokojna,728,49
109,Japan,Białogard,Dębowa,868,39
110,Italy,Olsztyn,Kielecka,367,78
